Italian word,English translation
sicuro,secure / for sure / for certain
vieni,you are coming / you come / come
degli,of the / the / about the
guarda,look
dentro,inside / into / in
trovato,found
queste,this one / this / these
caso,case / circumstance / matter / affair / chance / coincidence / accident
forza,force / strength
dov',apocopic form of dove
tutte,all / all of / any
pensi,you think
signora,madam / ma'am / woman
faccio,hold / made / I study
nome,noun / name / names
avuto,had (past part.)
problema,matter / question / trouble
altri,others / other / different
puo,can
aver,to have (apocopated)
mondo,world / hulled barley / I purify
tutta,all / any / totally
preso,took / caught / involved
nulla,nothing
nostra,our / ours / us's
donna,woman / skirts
stare,fits / stay / let's
basta,enough
insieme,together
faccia,get a fix / make / make oneself
ragazza,girlfriend / child / girlfriends
subito,immediately
famiglia,family / stock
ragazzo,kid / teenager's / child
volevo,I wanted
okay,okay
sentito,heard / felt
ah,ah / oh
stesso,same
ragione,reason / right
sarà,it'll be / it'd / won't be
tuoi,yours / folks
capito,to come / to get to / to chance / to end up / to happen
notte,night / nights / evenings
volte,times
testa,mind / head / tests
serve,to need / to plate / to serve
tesoro,term of endearment / treasure / valuable things / treasure
sotto,under / lower / to bring
eh,eh / huh
suoi,her / hers / yours
vado,I leave / I run fast / I go back
sara,Sarah / female given name
dato,given / fact
stiamo,we are / we stay
bella,beautiful (f.)
scusa,sorry
erano,they were / were / felt
pensavo,I thought
avrei,I would have
prendere,caught / go into / to hit
buona,good (f.)
porta,it wears / goal / it carries
bello,better / best / good-looking
moglie,wife's / wife / spouse's
vorrei,I would want / want / liked
storia,history
succede,to happen / to succeed
morto,dead / died
cercando,to look for / to try
dici,you say
persona,person / people
pronto,ready-made / hello / quick
meno,less
dovuto,had to
avanti,ahead / from then on(wards) / from here on(wards)
capisco,I understand / seen / understand
secondo,depending on / in compliance with / second course
venire,to come / come / came
polizia,police
lì,there
avrebbe,would have
stanno,they are / they stay
mentre,whereas / while / at that very moment
letto,read / bed
fino,thin / fine / till / until / as far as
dico,said / I say / I am saying
amici,friends (m.)
fine,thin / quality / finish
aiuto,assistant / I help / assistance
paura,fear / fright
fratello,brother
stavo,I was
uomini,men
nell',in the / into the / on the whole
domani,tomorrow
facciamo,we act as / hold / let's
abbastanza,rather
capo,cape / forewoman / directors
amore,love / love affairs / darling
nei,inside / ins / in the
ucciso,killed (p.p. of uccidere)
state,you (pl.) are / stay
piano,slow / quietly / level
macchina,car / machine / automobile
trovare,to be / to find / work
comunque,anyway
vediamo,we see / let's see
giorni,days
nemmeno,not even
mano,hand / out of the way / off the beaten track
dall',from the
presto,early
stati,been (m. pl.)
merda,shit / crap
far,apocopic form of fare
bambino,infant / child / childish
andato,gone
vedo,I see
tornare,get back / (to) go back / (to) come back
quelle,those / the ones / what
cio,that / this
primo,first / first course / prime
vostro,your / yours
neanche,either
sera,even / night / nights
giro,circulation / detour / rounds
morte,death
e',is
qua,here
pensato,thought
buon,good
anno,years / year / year’s
mie,my / mine
diavolo,devil
quasi,almost
piacere,nice to meet you
bel,"beautiful (m., apocopated)"
dovrei,(I) would ought to / (I) would have to / should
nessun,no
contro,against
stessa,same (f.)
felice,happy / happier / Felice
colpa,blame / fault / guilt
punto,at all / pricked oneself / (I) brace
andata,gone (f.) / journey
dovrebbe,(he/she/it/you) would have to / (he/she/it) should / should
vedi,you see
quale,which
chiesto,to ask / to request
invece,instead
perchè,Common misspelling of perché / Common misspelling of perché
migliore,superior / better / preferable
nostri,our / folks / ours
finito,finished / finite
figlia,child / girl / daughter
dovresti,ought / you should / should
papa,Pope
almeno,at least
sento,I hear / I feel
quei,that / those / what
col,with the (m.)
ore,hours
passato,past
magari,maybe / I wish
minuti,minutes
terra,earth / ground / floor
vostra,your / yours
strada,path / road / route
sola,the only one / the only woman
credi,you believe
importante,elegant / major / great
sue,his / your / her
salve,hello
settimana,week / week’s wages
perso,lost / missed
uscire,walks / appear / got
parlato,spoken
papà,dad / daddy / dad's
stasera,tonight
scusi,excuse me
dollari,dollar
occhi,eyes
mani,hands
ultima,last (f.)
possibile,doable / possible / attainable
scuola,school
significa,to mean / to signify
sapevo,I knew
nelle,inside / in the / into
potrei,I would be allowed to / I would be able to / could
stava,was
bambini,children / boys / kids
eri,(you) used to be / (you) were being / felt
importa,to be important / to matter / to import / heed
indietro,back / behind / backwards
riesco,to be able to / to manage to / to be / to prove / to find
sangue,blood
chiama,calls
messo,put / put in / put on
piccolo,little / young / minor
traduzione,rendering / translation / transfer
tardi,late
cuore,heart / center / centre
marito,husband / husbands / spouse's
viene,you work out / it turns out / is
venuto,come (p.p. of venire)
ieri,yesterday
spero,to hope
ricordi,memories
quelli,that one / those / ones
dovremmo,(we) should / we'd
lasciato,left
ascolta,to listen
difficile,tough / unlikely / tense
quell',that / that one / those
auto,car
chiamato,called
ciò,that / this
altre,more / others / other
parlando,speaking
pensare,thought / (to) to believe / thinks
fantastico,fantastic
fatta,done (f.)
numero,number / shoe size / turns
veramente,really
fanno,hold / made / it's
com',apocopic form of come / apocopic form of come
serio,serious / worse / earnest
possa,can (subj.)
fossi,I/you were (subj.)
entrare,have to do with / let's / walks
anch',apocopic form of anche
qualsiasi,any / every / each / ordinary / common
pensa,thinks
dicendo,saying
acqua,water
portato,prone / inclined / that has a bent / result / outcome
stanza,room / rooms'
problemi,problems
forte,strongest / hot / brutal
nessuna,any / no / no one
lascia,leaves / let
amo,I love
roba,stuff
agente,agent / representative
dietro,behind / after / in the back
corpo,body / substance / object
pare,estimate / judgment / opinion / view / comment / to look / seem / appear
sentire,caught / hear / to feel like
foto,photos / photographs / picture
telefono,phone's / phones / telephone
voleva,wanted
poco,little / a little of / a bit of
prendi,you take
piccola,small (f.)
vicino,neighbour / next / near
quest',this
sacco,sac / lot / lots / piles / loads / ton / sack / bag
stia,birdcage / hutch / coop
capire,makes / work / comprehend
potuto,been able
cinque,five
strano,peculiar / weird / strange
tue,yours
andando,going
donne,women
sappiamo,know / knew / we are able to
bravo,skillful / kind / better
ragazze,girls
festa,done / festivity / don't
senso,direction / consciousness / meaning
genere,genre / gender / kind
quattro,four
dare,hold / offers / offered
attimo,bit / moment / instant / second
sorella,sister / sister's
pure,also / too / even if
probabilmente,probably
film,film
parla,speaks
ufficio,bureau / secretariat's / section
verso,direction / (I) spill / (I) flow
mesi,month
farti,to do / to make
unica,only person / only one / only thing
morire,to die
signorina,Miss
vecchio,ancient / stale / as old
domanda,asks for / try / you ask for
ben,well (variant of bene)
guerra,war / warfare / battle
dottore,graduate / doctor / a doctor
conosco,to know [a person or place] / experience / to recognise
qual,which
vivere,to go through / live / living
vista,sight / seen (f.)
prova,examination / exam / test / proof / evidence
nuova,new (f.)
ricordo,souvenir / I remind / memory
divertente,delicious / exciting / entertaining
avessi,I/you had (subj.)
sicura,sure (f.)
paio,pair
conto,account / tab / tale
perdere,(to) leak / gave / (to) get lost
dimmi,tell me
farmi,to do / to make
figli,children
mezzo,ability / through / by means of
lavorare,work / to work / cultivate
unico,only / sole / one / single / unique / unparalleled / unequalled
esattamente,exactly
squadra,team / squadron / squares
esatto,exact / right
possono,they can / they are allowed to / can
fate,you give / you do / you study
faro,headlight / headlamp / lighthouse
sapete,know / knew / you know
dottor,Dr
parola,said / word / speech
piedi,feet
sopra,on / about / upstairs
motivo,motive / motif / melody / aria / pattern / motif
avevi,you had
cavolo,cabbage / kale / collard
capitano,captain
finita,finished / finite
volete,want / you want / do you want
siano,they be (subj.)
potresti,you could
gioco,playing / I risk / I play
perfetto,faultless / perfect tense / complete
be,well
mente,memory / mind / (he/she/it) tells lies
mangiare,let's / ate / food
resto,stay / remain / (I) remain
credere,to believe / thought / thinks
fortuna,luck / fortune
tratta,draft / trade
chiamo,I call
morta,dead (f.)
là,there
entrambi,both / both of
avresti,you would have
passare,(to) move / impersonate / (to) wear off
cena,(he/she/it) dines / (he/she/it) has dinner / (he/she/it) eats dinner
sarei,I would be
controllo,check / control / verification / examination / inspection
affari,affair / matter / deal / bargain / business
spiace,disappointment / grief / regret / sorrow
ultimo,past / final / bottom
facile,easier / cheap / likely
farò,made / left / make
buongiorno,good morning
davanti,in front
tizio,man / someone / guy / fellow / character / chap / dude / Tityos
dammi,give me
sicurezza,certainty / reliability / confidence / safety / security
dalle,give her
quanti,how many
dica,say (subj.)
matrimonio,marriage / match / wedding
vogliono,want / they want / do they want
molti,many
culo,ass / bottom / buttocks / butt
fuoco,fire / heat / gas ring
cercare,attempting / to look for / find
pistola,pistole / pistol / gun
potremmo,we could / we would be likely / we would be allowed to
re,king / D / tycoon
mandato,warrant / order / writ / summons / mandate / charge / commission / task
puttana,bitch / whore / slut / hooker / tart [British]
negli,inside / ins / in the
cioe,that is / i.e.
inizio,(I) begin / (I) kick off / (I) strike up
saranno,be / they will be / they'll be
causa,cause / lawsuit
voglia,want (subj.) / wish
mettere,fits / kept / fit
fammi,make/let me
uccidere,hit / (to) kill / shoot dead
vogliamo,want / we want / do we want
faremo,(we) will have / (we) will make out with / (we) will get a fix
però,well / but / though
genitori,parent
sesso,sex / sex
potete,you are allowed to / you are able to / you can
ricevuto,to receive / pick up / read / to accept
vivo,alive / live / brisk / animate / vivacious / vivid / intense / brilliant
presidente,chair / chairman / chairperson
città,cities / town / city
citta,city
succedendo,to happen / to succeed
ospedale,hospital
fu,was (p.r.)
agli,to the / a / each
scritto,written / spelled / written down
smettila,Stop it
vada,go on / go / (he/she/it) goes
attenzione,watch out
sulle,on / on to / come on
bere,to drink
situazione,position / situation / situation's
omicidio,murder [Britain] / homicide [US]
revisione,auditing / review / revision
avesse,had (subj.)
ottimo,excellent / exquisite / great
cura,(he/she/it) nurses / course / (you) treat
durante,during / for
provato,proven / established
parole,words
lasciare,hands / to leave behind / to split up
dicono,they say
prossima,next (f.)
nostre,our / ours / us's
arrivato,successful
paese,village / town / country
sull',on to / on / above
andate,you (pl.) go
chiunque,anybody who / anybody / anyone
capisci,to understand
pace,peace
immagino,to imagine / picture / fancy / conceive
musica,music
tieni,to have / to hold / keep / to take
oddio,good grief / oh God; oh my God; God!
libro,book / books / novel's
eravamo,were / (we) used to be / (we) were being
amica,friend / friends / partner
diventare,be elected / become / to be made
sui,on the / on / on to
sbagliato,made a mistake / bad / been mistaken
dirmi,to say / to tell
wow,wow
farai,(you) will form / (you) will go round / (you) will make
entra,to enter / to go in
venuta,come (f.)
scelta,choice / chosen (f.)
voluto,wanted
portare,to bring / takes / wears
assolutamente,absolutely / completely / totally / dead
molte,many
chiedo,to ask / to request
torna,returns
scoperto,bare / open / uncovered
fatti,done (m. pl.) / facts
settimane,week
dirlo,to say / to tell
alcuni,a few / some / any
prigione,imprisonment / incarceration / detention / jail / prison
giornata,day / 810 m2 / agricultural measurement in Piedmont equal to 3
piuttosto,pretty / rather / somewhat
buono,strongest / kind / better
aspettare,hold / expected / expects
parli,you speak / speak / you talk
arrivare,to arrive / arrive / to come
lungo,thin / prolonged / long
vede,sees
avvocato,advocate / defender / intercessor / lawyer / counsel / solicitor / barrister
deciso,strongest / strong / determined
sarai,you will be / be / feel
messaggio,address / text message / message
dormire,sleeping / sleep / slumber
dieci,ten
stupido,stupid / idiot / fool / moron / clot
usare,to exercise / wears / to run
dello,with / of the / for
cielo,heaven / sky
guardare,to look after / let's / viewed
bagno,swim / washroom / bath
aria,air / Aryan / aria
voce,song / rumor / item
tornato,returned
vuol,wants (apocopated)
giù,down / downstairs / below / low / depressed / weak / below
conosci,to know [a person or place] / experience / to recognise
benissimo,Superlative of bene
prendo,I take
verita,truth
cane,dog
restare,stay / stopped / kept
chiamare,name / calling / phones
poter,to be able (apocopated)
campo,background / battlefield / airfield / field
luce,light / light's
qualunque,any / every / each / ordinary / common
giovane,young / youngster / young person
signori,lord / gentleman / [used to address a man] sir / Mister or Sir
fra,among / between / in
provare,try / walks / experimenting
minuto,detailed / petty / petite
saperlo,to know
lontano,hold / from a distance / distant
gruppo,cluster / band / party
continua,continuous
arrivo,arrival
gran,great (apocopated)
realta,reality / situation
cerca,search
passo,(I) spend / walks / (I) drop in
domande,questions
insomma,well / in short / in a word
bambina,child / missed / daughter
pensando,thinking
capelli,a single hair / hair
trova,finds
onore,credit / honour / reputation
aiutare,facilitate / to help each other / bridges
verità,truth
prove,examination / exam / test / proof / evidence
n',of it / from there (elided)
funziona,to work / to function
alto,large / tall / keep
giu,down / downstairs / below / low / depressed / weak / below
credevo,I believed
futuro,future
preoccuparti,to worry / to trouble / to bother
idiota,idiotic / idiot / moron / clot
cibo,food
fretta,hurry / haste / rush
cara,dear (f.)
finalmente,finally
morti,dead / deaths
odio,hatred
solito,same old / same / usual
brava,well done (f.)
incidente,incident / accident / crash
allo,to the / a / each
dev',must (elided)
intenzione,intention / intent / purpose / mind / wish
speciale,special / special slalom / peculiar
cambiare,breaks / swapped / (to) alter
vera,true (f.)
camera,room / chamber / bedroom
oltre,beyond / besides
semplice,simplest / simple / simple person
dirti,to say / to tell
riguardo,care / respect / connection / regard / respect / regard / consideration
finche,Common misspelling of finché
aspetto,appearance / look / aspect / side / angle / point of view / aspect
viaggio,I travel / trip / run
chiaro,blonde / comprehensible / light
chiamata,call / called (f.)
bocca,throat / lips / mouth
permesso,permitted / permit (p.p. of permettere)
piacerebbe,pleased to meet you / delight / favour / kindness
dovete,you must / you have to / do you have to
giocare,let's / playing / to stake
ordine,order
circa,around
ovviamente,obviously
finire,ate / run / stopped
piu',more / most
natale,Christmas
i',the / him / her (elided)
direi,I would say
vostri,your / yours
occhio,beware / face / eye
pronta,ready (f.)
scusami,excuse me
mattina,morning
cercato,to look for / to try
crede,believes
sistema,method / process / system
york,York
fondo,deep / long-distance running / background
resta,to remain / to stay
devono,have to / they have to / need
prossimo,immediate / next / near
pronti,ready (m.)
saputo,known
scusate,Excuse me
potere,can / can't / may
milioni,million
soltanto,only / just / alone
armi,weapon
arriva,to come / to be placed / to arrive / to come / to reach
fermo,firm / still / A town / and associated province / in the Marche
mese,month
chiedere,try / to sue for / asked
cristo,a beggar / a figure of Christ / crucifix / Christ
torno,I return
venite,you come out / you get / you come in
controllare,checking / supervised / kept
appuntamento,appointment / date / appointment's
s,See under S
chiami,you call
vecchia,old (f.)
detective,detective
pero,but / however
metti,you put
grado,degree / grade / level
vanno,they go out / they run slow / they increase
nave,ships / ship / vessel
iniziato,initiated / initiate
perche',because / why
informazioni,information
libero,vacant / loose / sweeper
stronzo,bastard / shit / son of a bitch / turd
grandi,big (pl.)
pezzo,piece / plot
segreto,secret / secrecy / concealed
colpo,blow / knock / shock / punch / hit / pound / raid
faceva,baked / made / left
piacciono,like / does he like / does she like
porto,harbour / passed / take
oppure,or / or else / otherwise
completamente,completely / fully
vederti,to see
lista,(you) list / (he/she/it) edges / lists
venga,come (subj.)
veloce,quick / rapid / fast
assassino,murderous / seductive / assassin
sapeva,knew
finché,as long as / until / till
ormai,already / yet / by now / by this time / now / at this point / by then
interessa,to be in the interest to / to be the concern of / to matter to
generale,general / general
giusta,right (f.)
tenere,to have / to hold / keep / to take
pazzo,crazy / insane / madman
vittima,victim
giuro,to swear / vow
consiglio,(I) advise / (I) recommend / (I) counsel
alcune,- some / a few
semplicemente,just / simply / only / solely / simply / plainly / plain
zio,uncle
centro,I balance / midpoint / I centre
specie,especially / particularly / species / strain / breed / kind / type / sort
mille,one thousand
sogno,dream
lasci,you leave
carino,kind / good-looking / handsome
doveva,had to
brutto,bad / worse / terrible
nello,in the / in / in my
aspetti,appearance / look / aspect / side / angle / point of view / aspect
incredibile,amazing / incredible / amazingly
sole,sun / alone / lonely
glielo,it to her / it to him / it
legge,reads / law
spesso,often
guardate,you (pl.) look
cambiato,to change / to exchange
scena,scene / stage
volevi,you wanted
lasciami,leave me
gentile,kind / better / best
rispetto,compared to / adherence / respect / deference
ve,you
fara,will do
zitto,quiet / silent / be quiet! / shush! / sh!
incontro,towards / arrangement / encounter / meeting
farà,makes / made / (he/she/it/you) will play
servono,to need / to plate / to serve
rapporto,connection / relation / relationship / correlation / ratio / gear
errore,mistake / error / slip
sanno,knows / they know / they can
pagare,pay / to pay for / squares
sorpresa,astonishment / amazement / surprise
occhiata,look / glance
risposta,answer / response / reply
presa,caught / hold / mesh
servizio,facility / feature / utility / setting / bathroom / service
medico,doctor / I medicate
usato,second-hand / used / worn / second-hand goods
caro,dear / honey / costly
schifo,boat / crap / rubbish / disgust / nausea / loathing
avrai,hold / (you) will have / have
dolore,grief / ache / sorrow
saresti,you would be
personale,personal / staff / private
quali,which
saro,I will be
peggio,worse / worst / at (the) worst
addio,farewell
addosso,on / [followed by {{m / it / a]}} on / next to
dovevo,I had to
poteva,could
pieno,solid / full / complete
diverso,dropout / various / changed
vestiti,clothes
sparato,dicky
realtà,reality / situation
do,I give
sarò,i'll / be / I will be
normale,normal / natural / straight
fame,hunger
programma,curriculum / cards / timeline
nonna,grandmother / grandmother's / grandma
sappia,know (subj.)
sembrava,to seem; to look ; to appear / to sound / taste or feel
migliori,to improve / to get better / to improve / to better / to mend
notizie,information / news
avevamo,we had
riesci,to be able to / to manage to / to be / to prove / to find
posizione,position / whereabouts
vengo,I arrive / I am coming / come
rimanere,stay / (to) be flabbergasted / stopped
compagnia,companionship / band / fellowship
proposito,purpose / intention / plan / design / subject / point / aim / object / purpose
farci,to stuff / fill / farce
ricorda,to commemorate / to mention / record / to remember / recall / recollect
prende,takes
tante,many
avevano,they had
arrivando,to come / to be placed / to arrive / to come / to reach
chiuso,boxed in / pulled / secured
terribile,tremendous / dreadful / terrible
ritardo,delay / lag / retardation / retard
attento,careful / special / open-eyed
bar,cafes / bar / coffee shop
sembri,to seem; to look ; to appear / to sound / taste or feel
fallo,fault / error / foul / phallus
dimenticato,forgotten / godforsaken
bisogna,necessity / requirement / need / thing / matter / affair
impossibile,outrageous / impossible / unearthly
cioè,that is / i.e.
studio,work / I study / studied
stessi,same (m. pl.)
arma,weapon / (he/she/it) arms / (you) arm
conosce,knows / offers / know
uscita,release / outbound / way out
ii,II (Roman numeral 2)
fin,until / end (apocopated)
disse,said (p.r.)
vattene,go away
quante,many / how many / how
guai,woe!
intorno,around / round / neighborhood
video,music video / video clip / video
manca,left hand
esserci,be alive / be there; be around / there be / exist
grosso,large / richer / great
tanti,many
dolce,soft / dessert / cake
chiave,in old Italian songs / clue / wrench
cervello,brain
coraggio,courage / bravery / valour / awesomeness
interessante,interesting / intriguing / fascinating
peccato,what a pity
questione,matter / problem / issue
adoro,To adore or worship
aereo,plane / planes / airplane
guardi,you look
rubato,to steal
sala,axis / hall / room
base,base / basis
sette,seven
sente,hears / feels
compleanno,birthday / birthday's
potrebbero,they could
relazione,account / report / connection / relation
cliente,drinker / clients / client
spalle,shoulder / back / rear / back
seconda,second / second year
parti,parts
vale,to be worth
qualcun,apocopic form of qualcuno
diritto,plain / knit / right / right / right-hand
sicuramente,definitely
appartamento,flat / apartment
pranzo,lunch / I have lunch / luncheon
saremo,we'll be / were / we will be
denaro,money / denarius / denier
riuscito,to be able to / to manage to / to be / to prove / to find
continuare,kept / carried / go
serata,nights / evenings / evening's
nero,black / black one / nero
vestito,suit / clothing / three-piece suit
carta,paper
ex,sometime / ex
dottoressa,doctor / graduate
bastardo,bastard / bastard
potevo,I could
iniziare,starting / began / to strike up
lavora,To run or operate / To work / To cultivate
otto,eight
conosciuto,known / well-known / The known
zona,territory / (he/she/it) zones / zone
stavi,you were
intendo,to hear / to listen / heed / to mean / intend
negozio,shop / stores / store's
trovo,I find
aspettando,to wait for / await / wait
partita,derby / left / match
tv,television
spazio,space / room
andra,will go
notizia,news / information / note
tempi,times
linea,dash / line
riguarda,to concern / regard / be about / deal with / to examine / check / go over
soli,sun
parliamo,we speak
uh,uh
poliziotto,policeman / policemen / police officer
scappare,breaks / makes / broken
fronte,forehead / brow / the two initial quatrains of an Italian sonnet
vinto,beated/beaten / defeated / broken down
averlo,to have
tranquillo,easier / peaceable / private
silenzio,silence / quiet / quietness
andati,gone
fossero,they were (subj.)
simile,like / alike / kindred
pezzi,piece / plot
calma,calm / stillness / peacefulness / tranquility / peace and quiet
santo,saint (m.)
ricerca,studied / look-up / (you) look for [sth.
pena,pain / pity / sentence / penalty / punishment
aspettate,to wait for / await / wait
stesse,same (f. pl.)
esiste,to exist / be
scoprire,to discover / find out / to sight; to spot / to uncover
altrimenti,differently / otherwise / or else
diceva,was saying
luogo,in place of / venue / place
lettera,letter / humanities
vive,alive / live / brisk / animate / vivacious / vivid / intense / brilliant
salvare,(to) to rescue / protect / rescue
canzone,song / epic poem / canzone
vengono,do they come / they are / they arrive
pubblico,public's / houses / in public
senta,to hear / feel
corso,course / raced / run
regalo,gift / I give away / present
sentite,you (pl.) hear
rimasto,been left / stopped / stayed
lavorando,To run or operate / To work / To cultivate
né,either...or / neither...nor
scherzando,to gamble / trifle / play / to joke / jest / be funny
stamattina,this morning
missione,mission
test,test
salute,health / golly / salvation
farebbe,would do
scelto,elected / chosen / decided on
dura,hard (f.)
computer,computer
stupida,stupid / idiot / fool / moron / clot
avremmo,we would have
aiutarti,to help / assist
contatto,contact
pericolo,peril / risk / danger
entro,inside / (I) enter / (I) go in
parlo,speak / I speak / I am speaking
freddo,cold / chilly / dry
triste,darker / sad / depressed
promesso,promised (p.p. of promettere)
esercito,exercised / practised / trained
america,the Americas
ultimi,last (m. pl.)
trovi,you find
dunque,hence / therefore / thus / then / afterwards / so
guardia,guard / watch / guard duty / sentry duty
infatti,in fact
possibilita,opportunity / chance / occasion / possibility
intendi,to hear / to listen / heed / to mean / intend
fbi,FBI
casino,brothel / casino / hunting lodge
buonanotte,goodnight / good night
caccia,hunting; shooting / look out / pursuit
gay,gay
arrivata,successful
lavori,jobs
certamente,certainly / definitely / surely / of course
regole,moderation / restraint / menstruation / period
vostre,your / yours
dovrai,(you) will have to / (you) will properly / (you) will ought to
secondi,second
ballo,a dance or ball
ascoltami,listen to me
birra,beer / beer's
ovunque,everywhere
club,club
arrivati,to come / to be placed / to arrive / to come / to reach
governo,government / administration / rule / feeding / tending
bellissima,superlative form of bello (f.)
oro,gold
duro,hold / (I) keep / harsh
cucina,cooking / cookery / food / kitchen
decisione,decision / decisiveness
anima,soul
forma,form / mould / shape
tornata,round / session
esempio,for example / warning / example
incontrato,to play / fight
occasione,broken / broke / bargain
stanotte,tonight / last right
porti,carriage / port / port / harbour
droga,drug / spice
possibilità,opportunity / chance / occasion / possibility
cellulare,cellular / cell phone / phone's
necessario,indispensable / inevitable / necessary
avremo,(we) will have / had / have
ferma,pointing / service
borsa,purse / markets / bag
prometto,to look like / to promise / to threaten
palle,ball / bullet / shot
nonno,grandpa / grandfather / grandpa's
piena,full (f.)
attacco,attack / assault / attack / criticism / junction / connection / join
dagli,give him / to him
affatto,completely
colpito,stricken / struck
salvato,to save / guard / safeguard / protect / defend
siediti,sit down
reale,real / royal
comprare,buy / got / squares
inferno,hell / inferno
parlarne,to speak / talk
diciamo,we say
regina,queen
carina,good-looking / nice / pretty (f.)
aperto,switched on / frank / broken
brutta,ugly (f.)
